Feature set,Model,Best params,CV F1 micro,Train F1 micro,Train F1 macro,Train Subset Accuracy,Test F1 micro,Test F1 macro,Test F1 samples,Test Subset Accuracy,Test Hamming Loss,Overfit Gap (F1 micro)
TFIDF-SVD,RandomForest,"{'estimator__max_depth': 10, 'estimator__n_estimators': 200}",0.7106536519715635,0.942374525175786,0.9565438920740987,0.885344674818359,0.7096774193548387,0.6809891853823341,0.6619761904761905,0.6057142857142858,0.11571428571428571,0.23269710582094727
AAC-CV+TFIDF-SVD+PH,LogisticRegression,{'estimator__C': 10},0.7024284778267347,0.7256475225225225,0.7133079937370285,0.5089491405280879,0.7085355409648872,0.6968301342318532,0.7272857142857143,0.4857142857142857,0.14585714285714285,0.01711198155763527
TFIDF-SVD+PH,LogisticRegression,{'estimator__C': 10},0.7004293234146567,0.7233326320218809,0.7108058472076709,0.5009746588693957,0.7048808172531215,0.6932007326545933,0.726047619047619,0.4807142857142857,0.14857142857142858,0.018451814768759456
AAC-CV+TFIDF-SVD,LogisticRegression,{'estimator__C': 100},0.6941139471538487,0.7243652686211249,0.7115422617116731,0.5052277157540316,0.6984036488027366,0.684356635312492,0.719452380952381,0.49,0.15114285714285713,0.025961619818388293
TFIDF-SVD,LogisticRegression,{'estimator__C': 10},0.6896465952863032,0.7122086956521739,0.6994083984048152,0.4859117490696438,0.6885803343723434,0.6743670922195684,0.7071428571428572,0.465,0.157,0.02362836127983048
AAC-CV+PH,SVM,"{'estimator__C': 10, 'estimator__kernel': 'rbf'}",0.6684682609533892,0.7126893809556455,0.7007041160296134,0.494240652135389,0.6730506155950753,0.6563894287524765,0.7002142857142857,0.4521428571428571,0.1707142857142857,0.039638765360570205
PH,RandomForest,"{'estimator__max_depth': 10, 'estimator__n_estimators': 400}",0.66821962970456,0.8470999088976617,0.8577384858221621,0.7138047138047138,0.6706929434202161,0.6471929423444959,0.6635238095238095,0.5392857142857143,0.148,0.1764069654774456
PH,SVM,"{'estimator__C': 10, 'estimator__kernel': 'rbf'}",0.6261896393324198,0.6606538895152199,0.6456669491801469,0.4182172603225235,0.6267942583732058,0.6067451486902999,0.6506904761904763,0.37714285714285717,0.20057142857142857,0.03385963114201407
AAC-CV+PH,LogisticRegression,{'estimator__C': 100},0.6031509854219761,0.6064986567736983,0.5949550550154236,0.28477760056707424,0.6130189646335212,0.5997644134882736,0.6219285714285715,0.26285714285714284,0.21571428571428572,-0.006520307859822938
AAC-CV,LogisticRegression,{'estimator__C': 100},0.5964868661548125,0.6008010680907877,0.5905538437945641,0.2636895268474216,0.6002034587995931,0.5869456049967244,0.6070476190476191,0.24357142857142858,0.22457142857142856,0.0005976092911945674
PH,LogisticRegression,{'estimator__C': 0.1},0.5071350521801299,0.508829221093372,0.5044697883933568,0.10526315789473684,0.5085075352455032,0.5054522531855108,0.48880952380952375,0.10714285714285714,0.28885714285714287,0.0003216858478688467
